url,IPv4 Address,Latitude,Longitude,ID
speedtest.oppinord.no , 185.97.196.25,70.6632,23.6817,21239
speedmonster.varangerbynett.no , 185.36.213.202,70.0745,29.7481,30324
speedo.eltele.no , 77.222.179.66,69.9403,23.3106,3433
speedtest.nornett.net , 77.222.196.14,69.9403,23.3106,4961
tos.speedtest.as2116.net , 193.75.5.2,69.6492,18.9553,11786
speedtest.iterika.ru , 91.229.74.100,69.3558,88.1893,26287
speedtest.norcom.ru , 80.67.208.250,69.3558,88.1893,26851
murmansk.speedtest.rt.ru , 95.54.193.69,68.9543,33.1076,3522
mrm-speedtest-srv02.ti.ru , 212.1.245.138,68.9543,33.1076,11072
speedtest.mmsn.ru , 77.73.136.11,68.9543,33.1076,1521
ookla02.trollfjord.no , 78.26.26.40,68.5656,14.9042,4755
naryan-mar.speedtest.rt.ru , 78.37.97.150,67.6333,53.05,4280
speedtest-ap.murm.pro , 94.140.241.18,67.5667,33.4,4980
speedtest.tigernet.ru , 91.217.3.187,67.5667,33.4,25069
speedtest.signal.no , 80.89.33.11,67.2833,14.3833,3308
boo-jern-speedtest1.altibox.net , 81.166.122.133,67.2804,14.4049,14444
speedtest.lbt.ru , 178.249.59.200,66.6572,66.4183,20728
proftelekom.ru , 185.180.236.2,66.6572,66.4183,17562
salehard.speedtest.rt.ru , 90.150.82.91,66.5333,66.6,2601
speedtest.ytc.ru , 188.94.48.15,66.5333,66.6,15323
cache.connect-online.ru , 194.247.185.4,66.5333,66.6,17819
novyurengoi.speedtest.rt.ru , 212.220.9.219,66.0833,76.6833,3484
noviy-urengoi.speedtest-uf.megafon.ru , 31.173.96.178,66.0833,76.6833,17031
nurg-speedtest-srv02.ti.ru , 212.1.245.146,66.0833,76.6833,11074
sp1.sigma-ktv.ru , 195.191.130.122,66.0833,76.6833,6256
speed.smartnet.is , 193.109.24.135,66.0751,-23.1212,3644
test.usinsknet.ru , 91.217.108.19,66,57.5333,3693
sp1.tengir.is , 88.149.104.254,65.6885,-18.1262,10661
sp1.nadym.tv , 91.204.240.20,65.5333,72.5167,4856
nadym.speedtest.rt.ru , 5.140.166.147,65.5333,72.5167,29999
ist.home-nadym.ru , 93.170.127.218,65.5333,72.5167,26135
speedtest.netplaza.fi , 80.75.110.179,65.0167,25.4667,2138
